narration,amount,merchant,merchant_frequency,is_recurring,cadence
NEFT-PayU-REF432280,49020.08,PayU,20,0,one-time
RTGS-Kuvera-REF889322,12957.1,Kuvera,27,0,one-time
RECURRING-MONTHLY-CARD-Skyscanner-REF933118,11066.6,Skyscanner,29,1,monthly
NEFT-Kuvera-REF949556,24152.45,Kuvera,27,0,one-time
NEFT-PayU-REF314448,10448.37,PayU,20,0,one-time
UPI-LANDLORD-1281987207@okhdfcbank,42169.47,,270,0,one-time
RTGS-BSNL-REF202172,2311.45,BSNL,20,0,one-time
RECURRING-QUARTERLY-CARD-Zerodha-REF957445,24975.35,Zerodha,37,1,quarterly
RECURRING-QUARTERLY-IMPS-Google Pay-REF793588,1817.97,Google Pay,17,1,quarterly
IMPS-Coursera-REF956932,2995.38,Coursera,33,0,one-time
UPI-GROWW-1230474195@ybl-052146,7026.78,Groww,31,0,one-time
RTGS-SHELL-REF781312,1542.56,Shell,38,0,one-time
RECURRING-MONTHLY-IMPS-Starbucks-REF168908,1823.63,Starbucks,29,1,monthly
IMPS-Kuvera-REF986663,27560.61,Kuvera,29,0,one-time
IMPS-PayU-REF957709,22554.92,PayU,20,0,one-time
IMPS-Vodafone-REF909822,2444.47,Vodafone,20,0,one-time
UPI-Starbucks-REF624630,1723.35,Starbucks,33,0,one-time
NACH-Blinkit-REF371314,2060.37,Blinkit,33,0,one-time
RECURRING-MONTHLY-UPI-JOHN DOE-0420762754@okhdfcbank,94426.59,,270,1,monthly
CARD-75489457,2964.83,,270,0,one-time
NACH-BESCOM-948787,38480.77,BESCOM,32,0,one-time
NACH-FLIPKART-007384,45137.17,Flipkart,30,0,one-time
NACH-PROVIDER-714645,37293.43,,270,0,one-time
NACH-Spotify-REF848654,409.18,Spotify,48,0,one-time
UPI-JOHN DOE-2007565470@okhdfcbank,29409.44,,270,0,one-time
NEFT-Zomato-REF552510,659.07,Zomato,23,0,one-time
RECURRING-MONTHLY-UPI-HDFC LIFE-1340301895@ybl-464840,5002.39,HDFC Life,29,1,monthly
RECURRING-MONTHLY-NEFT-ICICI Pru-REF921546,8095.09,ICICI Pru,28,1,monthly
RECURRING-MONTHLY-UPI-Amazon-REF562625,1714.55,Amazon,39,1,monthly
UPI-Paytm-REF878620,704.3,Paytm,20,0,one-time
UPI-Fortis-REF227245,4894.29,Fortis,32,0,one-time
RECURRING-MONTHLY-IMPS-Airtel-REF814990,4304.26,Airtel,35,1,monthly
NACH-Fortis-REF810029,6894.82,Fortis,26,0,one-time
UPI-Fortis-REF668468,7509.3,Fortis,32,0,one-time
RTGS-BANK-REF367562,16050.19,,270,0,one-time
NEFT-Zepto-REF628679,1303.73,Zepto,39,0,one-time
RECURRING-MONTHLY-NACH-UDEMY-507967,97183.62,Udemy,39,1,monthly
RECURRING-MONTHLY-RECURRING-MONTHLY-NEFT-Upstox-REF229718,47069.29,Upstox,20,1,monthly
CARD-48398209,34845.74,BESCOM,29,0,one-time
NEFT-Cure.fit-REF669655,1379.15,Cure.fit,20,0,one-time
RECURRING-MONTHLY-NEFT-EMPLOYER-REF039111,19244.52,,231,1,monthly
RECURRING-QUARTERLY-NEFT-Medibuddy-REF431162,8928.49,Medibuddy,20,1,quarterly
UPI-BigBasket-REF980366,1254.26,BigBasket,36,0,one-time
CARD-53360852,14268.0,Airtel,35,0,one-time
CARD-06214591,1634.17,Shell,38,0,one-time
IMPS-Unacademy-REF901752,669.64,Unacademy,20,0,one-time
RTGS-Paytm-REF116115,1340.27,Paytm,20,0,one-time
RECURRING-MONTHLY-NEFT-UberEats-REF235467,1204.02,UberEats,29,1,monthly
NEFT-FORTIS-REF801971,33079.34,Fortis,32,0,one-time
RECURRING-MONTHLY-UPI-HDFC LIFE-2281404453@ybl-230435,12052.99,HDFC Life,29,1,monthly
NEFT-Prime Video-REF610307,628.25,Prime Video,40,0,one-time
RECURRING-MONTHLY-CARD-Skyscanner-REF339921,5570.14,Skyscanner,29,1,monthly
RECURRING-MONTHLY-UPI-NETFLIX-7432403029@ybl-344093,243.3,Netflix,39,1,monthly
RTGS-PayU-REF183724,38886.75,PayU,20,0,one-time
RECURRING-MONTHLY-NEFT-Udemy-REF152814,980.68,Udemy,39,1,monthly
RECURRING-DAILY-RECURRING-MONTHLY-NACH-TATA Power-REF524598,2951.91,TATA Power,20,1,daily
RTGS-UDEMY-REF352745,10041.95,Udemy,39,0,one-time
NACH-BIGBASKET-067117,1126.61,BigBasket,35,0,one-time
RECURRING-WEEKLY-UPI-IRCTC-REF321624,10564.5,IRCTC,20,1,weekly
IMPS-Medibuddy-REF833872,7581.92,Medibuddy,20,0,one-time
RECURRING-MONTHLY-IMPS-Myntra-REF946185,3533.6,Myntra,36,1,monthly
UPI-JANE SMITH-2167722205@okhdfcbank,3145.7,,270,0,one-time
RTGS-UDEMY-REF352745,10041.95,Udemy,39,0,one-time
IMPS-LIC-REF717867,2423.88,LIC,26,0,one-time
RECURRING-MONTHLY-IMPS-Starbucks-REF168908,2042.14,Starbucks,33,1,monthly
IMPS-PERSON A-962316,7169.2,,270,0,one-time
RECURRING-MONTHLY-RTGS-Cure.fit-REF377161,2105.49,Cure.fit,20,1,monthly
UPI-Zomato-REF253446,1366.16,Zomato,27,0,one-time
UPI-Myntra-REF148204,3070.09,Myntra,36,0,one-time
IMPS-KFC-REF650918,472.35,KFC,37,0,one-time
NEFT-Kuvera-REF949556,24697.56,Kuvera,27,0,one-time
RECURRING-MONTHLY-RTGS-HP-REF158428,1980.92,HP,23,1,monthly
UPI-YouTube Premium-REF450422,458.85,YouTube Premium,20,0,one-time
RECURRING-MONTHLY-RTGS-Spotify-REF926329,1043.08,Spotify,48,1,monthly
CARD-04643633,41303.8,,294,0,one-time
UPI-LANDLORD-7539768119@okhdfcbank,17088.46,,270,0,one-time
NACH-OYO-971179,44297.4,OYO,30,0,one-time
IMPS-PERSON B-775789,1803.54,Indigo,32,0,one-time
CARD-Cure.fit-REF247675,1067.82,Cure.fit,18,0,one-time
RTGS-Practo-REF825182,2272.27,Practo,20,0,one-time
RECURRING-QUARTERLY-IMPS-Myntra-REF558911,2417.62,Myntra,36,1,quarterly
CARD-HP-REF969373,1010.51,HP,20,0,one-time
RECURRING-MONTHLY-IMPS-Practo-REF238331,5776.63,Practo,17,1,monthly
RECURRING-MONTHLY-RTGS-LinkedIn Learning-REF611799,5332.69,LinkedIn Learning,20,1,monthly
CARD-40469514,10230.73,,270,0,one-time
NEFT-STARBUCKS-REF851509,460.55,Starbucks,33,0,one-time
RTGS-Paytm-REF981965,2434.12,Paytm,20,0,one-time
IMPS-PERSON B-657236,5427.5,Prime Video,40,0,one-time
RECURRING-QUARTERLY-RTGS-OYO-REF429001,2598.13,OYO,30,1,quarterly
NACH-INDIGO-748513,1955.54,Indigo,32,0,one-time
RECURRING-QUARTERLY-NACH-BookMyShow-REF275854,280.27,BookMyShow,20,1,quarterly
UPI-KFC-6563349490@ybl-701975,283.17,KFC,37,0,one-time
RECURRING-MONTHLY-RTGS-Airtel-REF416797,1074.72,Airtel,35,1,monthly
NEFT-Amazon-REF185115,3258.28,Amazon,40,0,one-time
RECURRING-MONTHLY-NEFT-Udemy-REF152814,1023.63,Udemy,39,1,monthly
RECURRING-WEEKLY-UPI-Hotstar-REF171205,615.96,Hotstar,20,1,weekly
RECURRING-MONTHLY-NACH-Kuvera-REF140098,39212.17,Kuvera,26,1,monthly
RECURRING-MONTHLY-NEFT-Medibuddy-REF363321,8226.99,Medibuddy,20,1,monthly
NEFT-PayU-REF432280,44521.98,PayU,20,0,one-time
IMPS-PERSON A-611614,31129.93,Jio,26,0,one-time
RECURRING-MONTHLY-RECURRING-MONTHLY-IMPS-Coursera-REF989374,1608.19,Coursera,31,1,monthly
RECURRING-QUARTERLY-RECURRING-WEEKLY-UPI-Bajaj Allianz-REF487752,3263.61,Bajaj Allianz,17,1,quarterly
CARD-CRED-REF621731,34408.6,CRED,37,0,one-time
RECURRING-MONTHLY-RECURRING-WEEKLY-UPI-Uber-REF600131,7319.58,Uber,20,1,monthly
RECURRING-MONTHLY-CARD-Razorpay-REF915109,40168.51,Razorpay,16,1,monthly
UPI-LANDLORD-2433852964@okhdfcbank,7865.96,,270,0,one-time
RTGS-SHELL-REF333405,1820.19,Shell,38,0,one-time
RTGS-SHELL-REF333405,1820.19,Shell,41,0,one-time
UPI-NETFLIX-1352803977@ybl-718659,24948.21,Netflix,47,0,one-time
RECURRING-MONTHLY-RTGS-Spotify-REF592093,503.74,Spotify,48,1,monthly
UPI-Practo-REF976947,8961.08,Practo,17,0,one-time
RECURRING-DAILY-CARD-BookMyShow-REF232389,613.35,BookMyShow,19,1,daily
RECURRING-MONTHLY-NEFT-MakeMyTrip-REF166790,13180.36,MakeMyTrip,33,1,monthly
RECURRING-QUARTERLY-UPI-Coursera-REF561570,3429.73,Coursera,31,1,quarterly
UPI-Upstox-REF335483,46831.04,Upstox,20,0,one-time
RECURRING-MONTHLY-CARD-Medibuddy-REF970726,9401.84,Medibuddy,20,1,monthly
UPI-IRCTC-REF910085,2918.77,IRCTC,23,0,one-time
RTGS-Prime Video-REF534638,837.4,Prime Video,40,0,one-time
UPI-GROWW-6558232971@ybl-847802,9806.42,Groww,31,0,one-time
RECURRING-MONTHLY-RTGS-BigBasket-REF110594,1622.68,BigBasket,41,1,monthly
RTGS-BSNL-REF202172,2311.45,BSNL,21,0,one-time
RTGS-ZEPTO-REF593385,586.29,Zepto,34,0,one-time
UPI-KFC-9126043787@ybl-047847,699.03,KFC,31,0,one-time
CARD-Paytm-REF572865,776.85,Paytm,20,0,one-time
RECURRING-MONTHLY-UPI-ICICI PRU-7074228052@ybl-873563,8357.29,ICICI Pru,35,1,monthly
RECURRING-MONTHLY-IMPS-Vodafone-REF111484,2444.11,Vodafone,20,1,monthly
NACH-Apollo-REF461720,4236.88,Apollo,38,0,one-time
RECURRING-DAILY-RECURRING-DAILY-CARD-Skyscanner-REF360175,3127.51,Skyscanner,29,1,daily
IMPS-PERSON B-330058,13131.42,,270,0,one-time
RECURRING-MONTHLY-NEFT-LIC-REF251694,6040.25,LIC,26,1,monthly
RECURRING-QUARTERLY-RECURRING-MONTHLY-IMPS-Razorpay-REF129907,29185.01,Razorpay,20,1,quarterly
UPI-Starbucks-REF624630,1723.35,Starbucks,33,0,one-time
RECURRING-WEEKLY-IMPS-BSNL-REF701366,4086.99,BSNL,20,1,weekly
NEFT-BSNL-REF373913,864.06,BSNL,20,0,one-time
IMPS-PERSON B-392256,15886.38,,270,0,one-time
RECURRING-QUARTERLY-RECURRING-MONTHLY-IMPS-BigBasket-REF155857,498.68,BigBasket,36,1,quarterly
UPI-Google Pay-REF457772,2518.3,Google Pay,20,0,one-time
RECURRING-MONTHLY-UPI-LIC-1328316630@ybl-774768,13392.95,LIC,26,1,monthly
RECURRING-QUARTERLY-CARD-Uber-REF338377,5108.63,Uber,20,1,quarterly
UPI-COURSERA-8299047609@ybl-612511,40832.41,Coursera,31,0,one-time
CARD-Skyscanner-REF748978,14126.6,Skyscanner,29,0,one-time
CARD-Paytm-REF139426,697.4,Paytm,20,0,one-time
RECURRING-MONTHLY-IMPS-Airtel-REF219234,4684.93,Airtel,35,1,monthly
RECURRING-WEEKLY-UPI-Swiggy-REF442211,465.15,Swiggy,33,1,weekly
UPI-PRIME VIDEO-9794343898@ybl-963033,18845.72,Prime Video,40,0,one-time
RTGS-Udemy-REF728487,4625.5,Udemy,39,0,one-time
UPI-MYNTRA-2250745536@ybl-196460,9225.31,Myntra,36,0,one-time
CARD-Skyscanner-REF803714,4920.73,Skyscanner,29,0,one-time
NEFT-EMPLOYER-REF856819,35052.73,,319,0,one-time
CARD-IOC-REF130305,1757.49,IOC,20,0,one-time
IMPS-Zepto-REF123608,2750.56,Zepto,39,0,one-time
RECURRING-MONTHLY-RTGS-IOC-REF583394,1899.63,IOC,20,1,monthly
NACH-SWIGGY-071676,48475.93,Swiggy,33,0,one-time
RECURRING-QUARTERLY-RECURRING-MONTHLY-CARD-OYO-REF667860,4949.29,OYO,30,1,quarterly
RECURRING-MONTHLY-UPI-UberEats-REF156440,803.26,UberEats,29,1,monthly
IMPS-Shell-REF391159,711.87,Shell,38,0,one-time
NACH-HDFC Life-REF816780,9078.16,HDFC Life,29,0,one-time
CARD-44336742,19466.98,Fortis,32,0,one-time
CARD-KFC-REF949783,1002.78,KFC,37,0,one-time
RECURRING-MONTHLY-NACH-Paytm-REF511732,1702.21,Paytm,21,1,monthly
UPI-LANDLORD-2884235650@okhdfcbank,48354.52,,270,0,one-time
RECURRING-QUARTERLY-IMPS-Myntra-REF558911,2417.62,Myntra,33,1,quarterly
RECURRING-MONTHLY-UPI-JANE SMITH-9182871223@okhdfcbank,110855.21,,270,1,monthly
UPI-ZERODHA-5943945568@ybl-682492,2242.74,Zerodha,32,0,one-time
CARD-Upstox-REF570408,20496.38,Upstox,20,0,one-time
IMPS-PERSON B-559235,11825.14,Udemy,39,0,one-time
RECURRING-QUARTERLY-NACH-BigBasket-REF929702,1023.65,BigBasket,36,1,quarterly
RECURRING-MONTHLY-UPI-HDFC LIFE-0677017673@ybl-103321,10493.11,HDFC Life,33,1,monthly
CARD-Fortis-REF244934,9990.95,Fortis,32,0,one-time
RECURRING-MONTHLY-UPI-Unacademy-REF651491,4199.84,Unacademy,20,1,monthly
RECURRING-MONTHLY-IMPS-Bajaj Allianz-REF836638,8428.93,Bajaj Allianz,20,1,monthly
RTGS-Bajaj Allianz-REF928483,5609.34,Bajaj Allianz,20,0,one-time
RECURRING-QUARTERLY-RECURRING-MONTHLY-UPI-Apollo-REF434346,9977.65,Apollo,38,1,quarterly
UPI-Coursera-REF720357,2222.82,Coursera,34,0,one-time
NACH-PRIME VIDEO-966053,36238.29,Prime Video,35,0,one-time
CARD-66453601,37379.26,Coursera,31,0,one-time
NEFT-Caltex-REF946763,1866.18,Caltex,23,0,one-time
RECURRING-MONTHLY-IMPS-1mg-REF268399,6443.85,1mg,17,1,monthly
RTGS-BANK-REF367491,4953.42,,270,0,one-time
NACH-PROVIDER-381103,21754.61,,270,0,one-time
UPI-KFC-6490711037@ybl-415814,641.28,KFC,37,0,one-time
UPI-JOHN DOE-9419830415@okhdfcbank,49858.36,,273,0,one-time
CARD-77877738,268.13,KFC,37,0,one-time
RECURRING-MONTHLY-UPI-Unacademy-REF651491,3844.95,Unacademy,20,1,monthly
RECURRING-MONTHLY-NACH-Upstox-REF184191,37225.61,Upstox,20,1,monthly
RTGS-AMAZON-REF124999,24658.08,Amazon,39,0,one-time
RECURRING-MONTHLY-UPI-JOHN DOE-1424039274@okhdfcbank,130462.77,,270,1,monthly
NACH-Unacademy-REF459087,2560.96,Unacademy,21,0,one-time
RECURRING-WEEKLY-NEFT-IOC-REF689314,830.52,IOC,19,1,weekly
UPI-Shell-REF535522,1389.01,Shell,38,0,one-time
CARD-HDFC Life-REF508929,4421.03,HDFC Life,29,0,one-time
NACH-BSNL-REF589693,3765.35,BSNL,20,0,one-time
NACH-Fortis-REF823382,4556.78,Fortis,32,0,one-time
UPI-Kuvera-REF328907,44281.09,Kuvera,27,0,one-time
CARD-Bajaj Allianz-REF157061,2841.19,Bajaj Allianz,20,0,one-time
RECURRING-MONTHLY-UPI-LinkedIn Learning-REF725880,1719.6,LinkedIn Learning,20,1,monthly
RTGS-Netflix-REF350911,326.16,Netflix,45,0,one-time
RECURRING-MONTHLY-NACH-Hotstar-REF571422,328.78,Hotstar,20,1,monthly
UPI-JANE SMITH-7732027511@okhdfcbank,46309.49,,270,0,one-time
UPI-CRED-3098671286@ybl-174002,12723.32,CRED,37,0,one-time
IMPS-PERSON B-160991,38528.87,,270,0,one-time
CARD-HP-REF969373,1010.51,HP,20,0,one-time
NEFT-UberEats-REF879887,486.7,UberEats,28,0,one-time
RECURRING-WEEKLY-IMPS-Starbucks-REF865562,1326.42,Starbucks,33,1,weekly
RECURRING-MONTHLY-UPI-Reliance-REF759561,1747.33,Reliance,20,1,monthly
RECURRING-DAILY-RECURRING-MONTHLY-UPI-JOHN DOE-4752892539@okhdfcbank,29412.1,,270,1,daily
RECURRING-WEEKLY-RTGS-HP-REF424369,1542.93,HP,20,1,weekly
RTGS-UDEMY-REF544955,41208.21,Udemy,39,0,one-time
RECURRING-MONTHLY-CARD-Apollo-REF580681,6862.9,Apollo,38,1,monthly
RECURRING-MONTHLY-RECURRING-QUARTERLY-RTGS-PhonePe-REF675471,4639.41,PhonePe,20,1,monthly
RECURRING-WEEKLY-CARD-Blinkit-REF544926,1556.65,Blinkit,39,1,weekly
IMPS-Vodafone-REF305788,5254.78,Vodafone,20,0,one-time
RTGS-APOLLO-REF744218,3505.03,Apollo,38,0,one-time
RTGS-Practo-REF825182,2670.8,Practo,20,0,one-time
NEFT-EMPLOYER-REF099216,43681.8,,270,0,one-time
RTGS-BANK-REF095375,41367.8,,304,0,one-time
IMPS-OYO-REF831600,4066.9,OYO,30,0,one-time
RECURRING-MONTHLY-RECURRING-MONTHLY-CARD-YouTube Premium-REF281012,307.01,YouTube Premium,19,1,monthly
RTGS-JIO-REF525800,1079.43,Jio,26,0,one-time
NACH-Fortis-REF823382,4556.78,Fortis,32,0,one-time
RECURRING-MONTHLY-CARD-Google Pay-REF460110,1194.92,Google Pay,20,1,monthly
IMPS-Jio-REF317455,1732.88,Jio,30,0,one-time
CARD-LinkedIn Learning-REF240210,3131.53,LinkedIn Learning,20,0,one-time
IMPS-Uber-REF976030,8719.96,Uber,20,0,one-time
UPI-BIGBASKET-7046003133@ybl-077447,985.61,BigBasket,36,0,one-time
UPI-Starbucks-REF153838,684.52,Starbucks,33,0,one-time
RECURRING-MONTHLY-CARD-Byju's-REF257281,4161.67,Byju's,20,1,monthly
RECURRING-MONTHLY-UPI-NETFLIX-3529838408@ybl-159195,924.34,Netflix,51,1,monthly
RECURRING-MONTHLY-IMPS-1mg-REF268399,6443.85,1mg,20,1,monthly
IMPS-Razorpay-REF146077,6839.07,Razorpay,20,0,one-time
RTGS-Fortis-REF718434,5554.81,Fortis,32,0,one-time
RECURRING-MONTHLY-IMPS-IOC-REF198841,1869.69,IOC,20,1,monthly
NEFT-Zomato-REF552510,659.07,Zomato,28,0,one-time
CARD-LIC-REF501867,8105.24,LIC,26,0,one-time
CARD-81961007,761.51,BigBasket,36,0,one-time
IMPS-PERSON B-412690,49671.49,,270,0,one-time
RTGS-BANK-REF902335,21185.91,,270,0,one-time
RECURRING-MONTHLY-CARD-Swiggy-REF963257,779.04,Swiggy,26,1,monthly
UPI-JANE SMITH-7732027511@okhdfcbank,46309.49,,270,0,one-time
RECURRING-QUARTERLY-RTGS-Reliance-REF722471,1035.11,Reliance,20,1,quarterly
NACH-Apollo-REF466764,2343.89,Apollo,38,0,one-time
RECURRING-MONTHLY-CARD-Uber-REF868840,12362.98,Uber,20,1,monthly
NEFT-PhonePe-REF466671,2087.52,PhonePe,20,0,one-time
RECURRING-MONTHLY-UPI-NETFLIX-6329645761@ybl-326920,414.46,Netflix,47,1,monthly
CARD-56746554,586.8,KFC,37,0,one-time
CARD-Practo-REF878154,5048.46,Practo,20,0,one-time
NACH-BESCOM-679448,41118.3,BESCOM,28,0,one-time
RTGS-COURSERA-REF518937,10672.37,Coursera,31,0,one-time
RECURRING-MONTHLY-UPI-JANE SMITH-2948470920@okhdfcbank,18437.51,,270,1,monthly
NACH-Blinkit-REF920571,999.0,Blinkit,35,0,one-time
UPI-CRED-3098671286@ybl-174002,12201.58,CRED,37,0,one-time
NEFT-Kuvera-REF949556,24152.45,Kuvera,27,0,one-time
RECURRING-QUARTERLY-UPI-Prime Video-REF359268,457.19,Prime Video,40,1,quarterly
UPI-Kuvera-REF695900,9559.91,Kuvera,27,0,one-time
NEFT-OYO-REF928954,46319.23,OYO,30,0,one-time
RECURRING-MONTHLY-RTGS-Cure.fit-REF185837,1444.72,Cure.fit,21,1,monthly
RECURRING-MONTHLY-NEFT-MakeMyTrip-REF783200,3467.81,MakeMyTrip,31,1,monthly
IMPS-Zepto-REF524895,518.57,Zepto,34,0,one-time
UPI-NETFLIX-3514297546@ybl-669720,49624.38,Netflix,47,0,one-time
NEFT-Udemy-REF177230,1823.24,Udemy,41,0,one-time
IMPS-Groww-REF978696,11820.5,Groww,31,0,one-time
RECURRING-MONTHLY-CARD-Skyscanner-REF933118,11066.6,Skyscanner,25,1,monthly
CARD-45824404,713.0,Swiggy,33,0,one-time
UPI-KUVERA-6539575080@ybl-337302,4749.11,Kuvera,27,0,one-time
CARD-34963930,1859.58,Shell,34,0,one-time
NEFT-EMPLOYER-REF105767,31681.29,,270,0,one-time
NACH-SWIGGY-399773,18524.47,Swiggy,33,0,one-time
IMPS-Amazon-REF934548,1704.29,Amazon,39,0,one-time
RTGS-ICICI Pru-REF591764,3051.7,ICICI Pru,35,0,one-time
RECURRING-DAILY-RECURRING-MONTHLY-UPI-ICICI PRU-1707927808@ybl-761321,5688.58,ICICI Pru,37,1,daily
RECURRING-MONTHLY-NACH-Zepto-REF544024,751.17,Zepto,34,1,monthly
CARD-KFC-REF507199,1002.3,KFC,37,0,one-time
RTGS-PayU-REF353862,42435.13,PayU,20,0,one-time
RECURRING-QUARTERLY-IMPS-KFC-REF481939,695.1,KFC,37,1,quarterly
UPI-Medibuddy-REF451691,5067.57,Medibuddy,20,0,one-time
NEFT-EMPLOYER-REF826620,17547.54,,270,0,one-time
NACH-Kuvera-REF948640,21687.7,Kuvera,27,0,one-time
RTGS-AMAZON-REF060910,34273.27,Amazon,39,0,one-time
RECURRING-QUARTERLY-RTGS-Ola-REF929796,10765.94,Ola,20,1,quarterly
IMPS-Kuvera-REF374575,15726.79,Kuvera,21,0,one-time
NEFT-SHELL-REF931833,1404.76,Shell,38,0,one-time
RTGS-APOLLO-REF300121,9293.8,Apollo,38,0,one-time
UPI-OYO-REF752765,13651.39,OYO,30,0,one-time
UPI-JOHN DOE-4266101208@okhdfcbank,3227.85,,270,0,one-time
CARD-71389500,46866.81,,270,0,one-time
NACH-Blinkit-REF920571,1079.42,Blinkit,41,0,one-time
CARD-77877738,268.13,KFC,37,0,one-time
IMPS-Paytm-REF746363,1146.38,Paytm,16,0,one-time
UPI-JOHN DOE-2949912028@okhdfcbank,36388.03,,270,0,one-time
RTGS-STARBUCKS-REF597513,48131.49,Starbucks,33,0,one-time
CARD-Practo-REF839183,2184.07,Practo,23,0,one-time
RECURRING-MONTHLY-NACH-KFC-REF534967,1963.81,KFC,43,1,monthly
IMPS-Vodafone-REF583165,2501.91,Vodafone,20,0,one-time
CARD-LIC-REF501867,8304.04,LIC,26,0,one-time
