narration,amount,direction,channel,merchant,is_income
NACH-PRIME VIDEO-195966,28540.1,debit,nach,Prime Video,0
NEFT-Reliance-REF612487,1976.52,debit,neft,Reliance,0
IMPS-Netflix-REF665523,513.46,debit,imps,Netflix,0
UPI-ICICI PRU-5093957730@ybl-128383,14107.02,debit,upi,ICICI Pru,0
CASHBACK-CARD-07345522,34918.66,credit,neft,Amazon,1
NEFT-EMPLOYER-REF953331,37608.8,debit,neft,,0
UPI-Ola-REF753750,10604.71,debit,upi,Ola,0
NEFT-Amazon-REF768619,3958.18,debit,neft,Amazon,0
NACH-LIC-REF461303,9217.23,debit,nach,LIC,0
NEFT-EMPLOYER-REF106322,44765.8,debit,imps,,0
CARD-YouTube Premium-REF419677,1000.55,debit,card,YouTube Premium,0
NEFT-Prime Video-REF842423,388.2,debit,neft,Prime Video,0
NEFT-Skyscanner-REF490219,5369.55,debit,neft,Skyscanner,0
CARD-Swiggy-REF963257,926.63,debit,card,Swiggy,0
IMPS-HP-REF633675,1734.38,debit,imps,HP,0
UPI-Moneycontrol-REF812507,28205.9,debit,upi,Moneycontrol,0
IMPS-Cure.fit-REF203945,2101.61,debit,imps,Cure.fit,0
UPI-UberEats-REF156440,806.46,debit,upi,UberEats,0
IMPS-Zomato-REF453885,530.75,debit,imps,Zomato,0
NACH-Kuvera-REF483945,13878.66,debit,nach,Kuvera,0
IMPS-Hotstar-REF388445,273.04,debit,imps,Hotstar,0
UPI-JOHN DOE-3900143148@okhdfcbank,30823.27,debit,upi,,0
PAYMENT-RECEIVED-NACH-PROVIDER-884890,25001.61,credit,nach,,1
CARD-50199579,15051.9,debit,card,Apollo,0
REIMBURSEMENT-REFUND-UPI-AMAZON-5818740418@ybl-653428,36068.69,credit,upi,Amazon,1
IMPS-Flipkart-REF538790,2644.04,debit,imps,Flipkart,0
REIMBURSEMENT-CARD-22059507,20746.52,credit,card,,1
UPI-LANDLORD-5028486959@okhdfcbank,30102.75,debit,upi,,0
NACH-BESCOM-417445,17403.53,debit,nach,BESCOM,0
UPI-Practo-REF406414,4834.42,debit,upi,Practo,0
IMPS-Zerodha-REF718563,5944.1,debit,imps,Zerodha,0
NACH-Practo-REF946331,3045.92,debit,nach,Practo,0
UPI-LIC-4465224395@ybl-843251,6927.47,debit,upi,LIC,0
RTGS-BANK-REF758843,8049.84,debit,rtgs,,0
NEFT-PhonePe-REF325479,3786.86,debit,neft,PhonePe,0
RTGS-Hotstar-REF549342,942.49,debit,rtgs,Hotstar,0
NACH-ZOMATO-563044,693.48,debit,nach,Zomato,0
UPI-JOHN DOE-2949912028@okhdfcbank,36388.03,debit,upi,,0
PAYMENT-RECEIVED-RTGS-BANK-REF384460,19962.19,credit,rtgs,,1
UPI-OYO-REF489382,12352.8,debit,upi,OYO,0
NEFT-Practo-REF195715,4452.38,debit,neft,Practo,0
NACH-CRED-REF244532,5817.11,debit,nach,CRED,0
IMPS-Zomato-REF147316,974.62,debit,imps,Zomato,0
NACH-Paytm-REF432843,1557.08,debit,nach,Paytm,0
UPI-Netflix-REF652572,325.82,debit,upi,Netflix,0
UPI-ICICI PRU-0371546190@ybl-234661,14803.3,debit,upi,ICICI Pru,0
RTGS-BANK-REF983110,25142.74,debit,rtgs,,0
RTGS-Google Pay-REF457271,2419.51,debit,rtgs,Google Pay,0
NEFT-IOC-REF335295,1728.98,debit,neft,IOC,0
UPI-CRED-REF460832,32073.22,debit,upi,CRED,0
NEFT-EMPLOYER-REF136002,8229.64,debit,neft,,0
IMPS-TATA Power-REF197129,2008.3,debit,imps,TATA Power,0
UPI-JANE SMITH-7883425250@okhdfcbank,10954.75,debit,upi,,0
IMPS-Indigo-REF768607,1213.03,debit,imps,Indigo,0
RTGS-SHELL-REF894338,1874.05,debit,neft,Shell,0
NEFT-SPOTIFY-REF209597,9381.86,debit,neft,Spotify,0
CARD-57917079,577.4,debit,card,Shell,0
TRANSFER-IN-UPI-JOHN DOE-5114808806@okhdfcbank,82432.82,credit,upi,,1
RTGS-JIO-REF525800,985.96,debit,rtgs,Jio,0
NACH-INDIGO-618945,1384.07,debit,nach,Indigo,0
CARD-Indigo-REF863216,1302.0,debit,card,Indigo,0
RTGS-IOC-REF562791,1705.17,debit,card,IOC,0
UPI-FORTIS-1873510890@ybl-637193,10036.23,debit,upi,Fortis,0
RECEIVED-UPI-MYNTRA-3926195241@ybl-029898,35903.05,credit,card,Myntra,1
NEFT-1mg-REF604489,4058.89,debit,neft,1mg,0
UPI-HDFC LIFE-2281404453@ybl-230435,11839.79,debit,upi,HDFC Life,0
RTGS-Cure.fit-REF247906,2315.06,debit,rtgs,Cure.fit,0
TRANSFER-IN-CASHBACK-CARD-21147726,11712.81,credit,card,,1
RECEIVED-UPI-LANDLORD-4428714227@okhdfcbank,102494.22,credit,upi,,1
NEFT-Reliance-REF598171,1598.31,debit,neft,Reliance,0
NACH-Zerodha-REF925864,14474.38,debit,neft,Zerodha,0
UPI-CRED-3098671286@ybl-174002,12670.92,debit,upi,CRED,0
NACH-Myntra-REF451341,4418.92,debit,nach,Myntra,0
CARD-KFC-REF703282,1091.32,debit,card,KFC,0
NACH-Google Pay-REF553345,3290.16,debit,nach,Google Pay,0
RTGS-Myntra-REF442174,4046.53,debit,rtgs,Myntra,0
UPI-HDFC LIFE-2281404453@ybl-230435,12052.99,debit,upi,HDFC Life,0
NACH-Reliance-REF690980,999.02,debit,nach,Reliance,0
UPI-Moneycontrol-REF812507,27914.95,debit,upi,Moneycontrol,0
RTGS-Indigo-REF780805,1614.65,debit,rtgs,Indigo,0
PAYMENT-RECEIVED-UPI-MYNTRA-5740649869@ybl-464903,17819.94,credit,upi,Myntra,1
UPI-KFC-REF849800,1483.82,debit,upi,KFC,0
NACH-PROVIDER-395764,104.27,debit,nach,,0
IMPS-PERSON B-472217,266.67,debit,imps,KFC,0
INTEREST-UPI-MYNTRA-4020039657@ybl-598642,23636.27,credit,upi,Myntra,1
NACH-CRED-REF121479,5011.23,debit,nach,CRED,0
UPI-NETFLIX-1136807026@ybl-378084,336.98,debit,upi,Netflix,0
CARD-Zomato-REF708290,655.49,debit,card,Zomato,0
NACH-Bajaj Allianz-REF607907,4488.96,debit,nach,Bajaj Allianz,0
RTGS-Razorpay-REF833419,39418.8,debit,rtgs,Razorpay,0
NEFT-Zomato-REF489825,541.47,debit,neft,Zomato,0
UPI-Skyscanner-REF603906,12109.72,debit,upi,Skyscanner,0
NACH-TATA Power-REF126804,2809.49,debit,nach,TATA Power,0
NACH-UberEats-REF605882,973.65,debit,nach,UberEats,0
NACH-TATA Power-REF126804,2480.9,debit,upi,TATA Power,0
NEFT-HP-REF124981,1755.38,debit,neft,HP,0
CARD-51736581,39264.61,debit,card,Prime Video,0
RTGS-BigBasket-REF541626,1626.62,debit,imps,BigBasket,0
UPI-ZERODHA-8376703261@ybl-664434,5212.19,debit,neft,Zerodha,0
IMPS-PERSON B-366060,9060.95,debit,imps,Fortis,0
NEFT-ICICI Pru-REF481817,5906.79,debit,neft,ICICI Pru,0
UPI-Reliance-REF118454,1524.38,debit,upi,Reliance,0
IMPS-Vodafone-REF909822,2363.68,debit,imps,Vodafone,0
RTGS-YouTube Premium-REF843307,764.52,debit,rtgs,YouTube Premium,0
RTGS-Amazon-REF130339,1480.92,debit,rtgs,Amazon,0
UPI-UberEats-REF103545,343.29,debit,card,UberEats,0
INCOME-TRANSFER-IN-UPI-JOHN DOE-5114808806@okhdfcbank,94482.02,credit,upi,,1
NEFT-Airtel-REF214739,3797.28,debit,neft,Airtel,0
IMPS-PERSON A-962316,6642.19,debit,neft,,0
CARD-HDFC Life-REF144793,8848.9,debit,card,HDFC Life,0
UPI-OYO-4487888653@ybl-687400,40348.8,debit,upi,OYO,0
NACH-BSNL-REF589693,3765.35,debit,nach,BSNL,0
RECEIVED-IMPS-PERSON B-657236,5027.8,credit,imps,Prime Video,1
UPI-Amazon-REF615149,4186.28,debit,upi,Amazon,0
NACH-ICICI Pru-REF543800,7637.65,debit,nach,ICICI Pru,0
NACH-BigBasket-REF515552,1415.3,debit,imps,BigBasket,0
IMPS-PERSON B-175127,10470.83,debit,imps,Coursera,0
CARD-40469514,11208.43,debit,card,,0
NEFT-Amazon-REF424263,4207.6,debit,neft,Amazon,0
UPI-JOHN DOE-5954218598@okhdfcbank,7832.38,debit,upi,,0
IMPS-PERSON B-038598,473.21,debit,card,Apollo,0
UPI-JANE SMITH-1876231598@okhdfcbank,27611.55,debit,upi,,0
INCOME-NACH-FLIPKART-291706,12523.22,credit,nach,Flipkart,1
UPI-Prime Video-REF843235,323.67,debit,upi,Prime Video,0
NACH-Uber-REF669710,9116.77,debit,nach,Uber,0
IMPS-Reliance-REF585056,1155.3,debit,imps,Reliance,0
NEFT-LinkedIn Learning-REF844255,2646.38,debit,neft,LinkedIn Learning,0
IMPS-TATA Power-REF465061,2363.32,debit,imps,TATA Power,0
NACH-Byju's-REF897166,5151.24,debit,nach,Byju's,0
UPI-LANDLORD-7204238890@ybl,34356.9,debit,upi,,0
RTGS-HP-REF206516,1388.49,debit,upi,HP,0
NEFT-Caltex-REF946763,2020.41,debit,neft,Caltex,0
CARD-Kuvera-REF456693,7792.97,debit,card,Kuvera,0
NEFT-Practo-REF656544,6991.19,debit,neft,Practo,0
NEFT-ICICI Pru-REF921546,8803.12,debit,neft,ICICI Pru,0
UPI-Coursera-REF172091,2628.28,debit,upi,Coursera,0
UPI-Jio-REF302416,2499.41,debit,upi,Jio,0
CARD-Bajaj Allianz-REF727569,2159.5,debit,neft,Bajaj Allianz,0
UPI-Udemy-REF357125,3563.81,debit,upi,Udemy,0
RTGS-Moneycontrol-REF104160,9126.67,debit,rtgs,Moneycontrol,0
NACH-ZEPTO-546142,890.47,debit,upi,Zepto,0
RTGS-Google Pay-REF428202,901.92,debit,rtgs,Google Pay,0
CARD-Apollo-REF281595,4643.12,debit,card,Apollo,0
IMPS-Hotstar-REF690123,597.99,debit,imps,Hotstar,0
IMPS-Google Pay-REF793588,1657.02,debit,imps,Google Pay,0
RTGS-Jio-REF627345,4868.62,debit,rtgs,Jio,0
NACH-Flipkart-REF719702,1506.49,debit,nach,Flipkart,0
NACH-BLINKIT-598624,1320.4,debit,nach,Blinkit,0
RTGS-IOC-REF877013,986.47,debit,rtgs,IOC,0
UPI-Byju's-REF642702,4597.95,debit,upi,Byju's,0
UPI-JOHN DOE-0318642081@okhdfcbank,34031.14,debit,neft,,0
IMPS-IRCTC-REF527413,11868.28,debit,imps,IRCTC,0
UPI-SPOTIFY-6138581503@ybl-029967,334.55,debit,upi,Spotify,0
UPI-Flipkart-REF550038,2138.56,debit,upi,Flipkart,0
IMPS-HP-REF835665,1567.45,debit,imps,HP,0
NEFT-IOC-REF206966,1278.44,debit,neft,IOC,0
NACH-Blinkit-REF920571,1079.42,debit,nach,Blinkit,0
UPI-UDEMY-8798258896@ybl-972632,19825.71,debit,upi,Udemy,0
CARD-KFC-REF507199,1002.3,debit,card,KFC,0
NEFT-Moneycontrol-REF994136,36864.69,debit,upi,Moneycontrol,0
NEFT-BookMyShow-REF330695,782.09,debit,neft,BookMyShow,0
IMPS-PERSON A-242063,41603.15,debit,imps,,0
INCOME-UPI-FLIPKART-4145255693@ybl-255154,10350.39,credit,upi,Flipkart,1
RTGS-OYO-REF659357,11826.78,debit,rtgs,OYO,0
UPI-BigBasket-REF820199,1941.08,debit,upi,BigBasket,0
CARD-LinkedIn Learning-REF102781,4415.47,debit,card,LinkedIn Learning,0
RTGS-Byju's-REF307032,3145.78,debit,rtgs,Byju's,0
CARD-BookMyShow-REF836537,385.47,debit,card,BookMyShow,0
RTGS-Flipkart-REF166501,2386.05,debit,rtgs,Flipkart,0
REFUND-IMPS-PERSON B-131588,46250.43,credit,imps,,1
CARD-PayU-REF120891,41900.12,debit,card,PayU,0
IMPS-PERSON B-038598,523.11,debit,imps,Apollo,0
UPI-SPOTIFY-0351359011@ybl-559768,286.22,debit,upi,Spotify,0
IMPS-PERSON A-309376,5950.07,debit,imps,,0
UPI-Amazon-REF858392,3504.82,debit,upi,Amazon,0
UPI-OYO-REF734786,5850.67,debit,upi,OYO,0
RTGS-Starbucks-REF319192,1502.77,debit,rtgs,Starbucks,0
UPI-JANE SMITH-2380555919@okhdfcbank,47373.09,debit,upi,,0
NEFT-Spotify-REF338845,893.66,debit,neft,Spotify,0
CARD-40469514,10972.45,debit,card,,0
NACH-Zerodha-REF925864,14474.38,debit,imps,Zerodha,0
CASHBACK-UPI-MYNTRA-1387784449@ybl-892711,28112.1,credit,upi,Myntra,1
NACH-Airtel-REF278336,1361.91,debit,nach,Airtel,0
TRANSFER-IN-CASHBACK-UPI-MYNTRA-1387784449@ybl-892711,27911.28,credit,upi,Myntra,1
IMPS-PERSON A-959007,49850.77,debit,imps,,0
UPI-JANE SMITH-3713034785@okhdfcbank,558.22,debit,neft,,0
UPI-Reliance-REF339567,1427.46,debit,neft,Reliance,0
UPI-JOHN DOE-4616027174@okhdfcbank,9099.8,debit,upi,,0
IMPS-BigBasket-REF411790,1176.02,debit,imps,BigBasket,0
NACH-PayU-REF887456,17212.87,debit,nach,PayU,0
NEFT-AIRTEL-REF498958,27940.02,debit,neft,Airtel,0
RTGS-Razorpay-REF463824,30634.56,debit,rtgs,Razorpay,0
IMPS-1mg-REF628345,8889.46,debit,card,1mg,0
NEFT-Jio-REF133180,630.91,debit,neft,Jio,0
RTGS-BookMyShow-REF617475,490.54,debit,imps,BookMyShow,0
PAYMENT-RECEIVED-CASHBACK-CARD-21147726,11955.49,credit,card,,1
UPI-PRIME VIDEO-9794343898@ybl-963033,18845.72,debit,upi,Prime Video,0
UPI-Jio-REF116568,3633.31,debit,upi,Jio,0
NEFT-Moneycontrol-REF160500,38667.17,debit,neft,Moneycontrol,0
RTGS-Razorpay-REF553645,28830.94,debit,rtgs,Razorpay,0
IMPS-Ola-REF458346,3489.25,debit,upi,Ola,0
NEFT-STARBUCKS-REF126485,774.95,debit,imps,Starbucks,0
CARD-49533921,1234.23,debit,card,BigBasket,0
NACH-SWIGGY-399773,16569.79,debit,nach,Swiggy,0
NACH-Indigo-REF944795,1311.14,debit,nach,Indigo,0
PAYMENT-RECEIVED-RTGS-SPOTIFY-REF002018,22430.24,credit,rtgs,Spotify,1
UPI-CRED-REF460832,32073.22,debit,upi,CRED,0
RTGS-Jio-REF236535,3147.94,debit,rtgs,Jio,0
CARD-Paytm-REF948855,3074.17,debit,card,Paytm,0
RTGS-BookMyShow-REF617475,484.73,debit,rtgs,BookMyShow,0
CARD-34751147,29767.42,debit,card,,0
CARD-55407680,10698.57,debit,card,Airtel,0
UPI-KUVERA-6539575080@ybl-337302,4749.11,debit,card,Kuvera,0
UPI-BookMyShow-REF540512,965.1,debit,upi,BookMyShow,0
UPI-JOHN DOE-2426353953@okhdfcbank,29823.32,debit,neft,,0
UPI-MAKEMYTRIP-3573634487@ybl-852094,34574.11,debit,upi,MakeMyTrip,0
NACH-Apollo-REF551826,7599.1,debit,nach,Apollo,0
CARD-Ola-REF616736,10643.9,debit,card,Ola,0
CARD-64080448,22267.05,debit,card,Myntra,0
NEFT-FORTIS-REF920615,15745.83,debit,neft,Fortis,0
UPI-JANE SMITH-3445249836@ybl,48985.61,debit,upi,,0
NEFT-EMPLOYER-REF720196,33461.89,debit,neft,,0
IMPS-MakeMyTrip-REF336125,2013.58,debit,imps,MakeMyTrip,0
RTGS-NETFLIX-REF219619,36318.39,debit,rtgs,Netflix,0
CASHBACK-UPI-AMAZON-1266261005@ybl-112772,9481.23,credit,upi,Amazon,1
IMPS-Myntra-REF558911,2417.62,debit,upi,Myntra,0
NEFT-Moneycontrol-REF994136,36864.69,debit,neft,Moneycontrol,0
INTEREST-IMPS-PERSON A-117037,48449.38,credit,imps,,1
RTGS-LIC-REF884087,9602.96,debit,rtgs,LIC,0
NACH-PROVIDER-943007,40397.71,debit,nach,,0
NEFT-1mg-REF604489,4555.2,debit,neft,1mg,0
NEFT-Flipkart-REF503613,1683.59,debit,neft,Flipkart,0
RECEIVED-IMPS-PERSON B-657236,5618.22,credit,imps,Prime Video,1
PAYMENT-RECEIVED-UPI-JANE SMITH-9443474712@ybl,15637.74,credit,upi,,1
IMPS-Starbucks-REF316006,706.89,debit,imps,Starbucks,0
IMPS-Netflix-REF635245,772.15,debit,imps,Netflix,0
NACH-Flipkart-REF486594,3004.36,debit,nach,Flipkart,0
IMPS-IRCTC-REF267181,3992.78,debit,imps,IRCTC,0
RTGS-Airtel-REF623647,1424.77,debit,rtgs,Airtel,0
RTGS-ICICI Pru-REF111981,6275.02,debit,rtgs,ICICI Pru,0
IMPS-TATA Power-REF589916,4308.16,debit,imps,TATA Power,0
UPI-Upstox-REF746108,10367.45,debit,upi,Upstox,0
RTGS-Spotify-REF900827,428.67,debit,rtgs,Spotify,0
NACH-Paytm-REF746112,1646.24,debit,upi,Paytm,0
IMPS-Byju's-REF652547,1725.51,debit,imps,Byju's,0
CARD-PhonePe-REF552783,3861.19,debit,card,PhonePe,0
UPI-COURSERA-0078573154@ybl-536309,45019.34,debit,upi,Coursera,0
NEFT-EMPLOYER-REF104021,40688.38,debit,neft,,0
RTGS-ZEPTO-REF064476,1335.03,debit,imps,Zepto,0
NACH-PROVIDER-081789,48328.14,debit,nach,,0
CARD-Bajaj Allianz-REF549074,8464.62,debit,card,Bajaj Allianz,0
NACH-PROVIDER-786308,25416.24,debit,nach,,0
CARD-Upstox-REF570408,19136.74,debit,card,Upstox,0
NACH-TATA Power-REF197719,3091.35,debit,nach,TATA Power,0
UPI-JANE SMITH-7071297933@ybl,16643.69,debit,upi,,0
CARD-BESCOM-REF961866,4324.42,debit,card,BESCOM,0
NACH-PROVIDER-381103,22514.72,debit,nach,,0
IMPS-Starbucks-REF959549,690.36,debit,imps,Starbucks,0
RTGS-Vodafone-REF869080,2118.83,debit,upi,Vodafone,0
INCOME-RTGS-BIGBASKET-REF917751,31144.92,credit,card,BigBasket,1
REFUND-TRANSFER-IN-NEFT-AMAZON-REF821631,10016.31,credit,neft,Amazon,1
NEFT-ICICI Pru-REF451455,5306.75,debit,neft,ICICI Pru,0
RTGS-Blinkit-REF113596,2671.53,debit,rtgs,Blinkit,0
NEFT-Cure.fit-REF267270,2624.73,debit,neft,Cure.fit,0
NACH-Google Pay-REF181327,4926.87,debit,nach,Google Pay,0
NACH-Fortis-REF823382,4620.62,debit,nach,Fortis,0
RTGS-COURSERA-REF518937,10672.37,debit,rtgs,Coursera,0
UPI-Groww-REF205643,18163.98,debit,upi,Groww,0
NEFT-HP-REF451906,925.62,debit,neft,HP,0
CARD-Zerodha-REF687869,17551.48,debit,card,Zerodha,0
CARD-Kuvera-REF456693,7792.97,debit,imps,Kuvera,0
IMPS-Moneycontrol-REF298468,19471.46,debit,imps,Moneycontrol,0
NACH-SPOTIFY-443733,36294.73,debit,nach,Spotify,0
RTGS-YouTube Premium-REF544494,573.86,debit,rtgs,YouTube Premium,0
NEFT-IOC-REF335295,1958.18,debit,neft,IOC,0
NACH-HP-REF196413,1980.32,debit,nach,HP,0
CASHBACK-CARD-07345522,34918.66,credit,upi,Amazon,1
IMPS-PERSON A-604264,1191.44,debit,imps,,0
UPI-KFC-1416514627@ybl-457009,44506.45,debit,upi,KFC,0
REFUND-UPI-JOHN DOE-1424039274@ybl,116318.35,credit,imps,,1
NACH-Udemy-REF776392,3506.34,debit,nach,Udemy,0
CARD-HDFC Life-REF787397,3034.86,debit,card,HDFC Life,0
UPI-JANE SMITH-6549639052@ybl,33971.91,debit,upi,,0
UPI-ZERODHA-5536217435@ybl-224929,4088.73,debit,upi,Zerodha,0
INTEREST-IMPS-PERSON B-565599,39643.83,credit,imps,Prime Video,1
IMPS-Kuvera-REF374575,15280.66,debit,imps,Kuvera,0
CARD-KFC-REF507199,1002.3,debit,card,KFC,0
UPI-GROWW-3390171613@ybl-296193,2205.41,debit,upi,Groww,0
UPI-UberEats-REF103545,343.29,debit,upi,UberEats,0
NACH-Netflix-REF253875,750.62,debit,nach,Netflix,0
IMPS-Kuvera-REF577547,16659.89,debit,imps,Kuvera,0
TRANSFER-IN-NEFT-EMPLOYER-REF453636,37709.24,credit,neft,,1
NEFT-APOLLO-REF126308,13313.25,debit,neft,Apollo,0
NEFT-Swiggy-REF253572,256.43,debit,neft,Swiggy,0
NEFT-Spotify-REF881398,828.85,debit,neft,Spotify,0
UPI-Practo-REF596729,3017.21,debit,upi,Practo,0
UPI-Flipkart-REF178181,1781.86,debit,neft,Flipkart,0
RTGS-Upstox-REF471837,27043.46,debit,rtgs,Upstox,0
NEFT-Hotstar-REF652509,304.58,debit,neft,Hotstar,0
NACH-AMAZON-600156,6772.91,debit,nach,Amazon,0
INCOME-RTGS-BIGBASKET-REF917751,34103.97,credit,rtgs,BigBasket,1
NEFT-Hotstar-REF652509,279.25,debit,neft,Hotstar,0
NEFT-Bajaj Allianz-REF225826,8475.74,debit,neft,Bajaj Allianz,0
IMPS-Vodafone-REF957405,3098.85,debit,upi,Vodafone,0
UPI-Vodafone-REF788886,1270.08,debit,upi,Vodafone,0
CARD-PhonePe-REF412678,1543.52,debit,card,PhonePe,0
UPI-JANE SMITH-0060436831@okhdfcbank,14579.78,debit,upi,,0
INCOME-RTGS-BANK-REF553048,1657.68,credit,rtgs,,1
UPI-ICICI PRU-5141361242@ybl-761321,5397.6,debit,upi,ICICI Pru,0
UPI-JANE SMITH-8882189928@okhdfcbank,45562.09,debit,upi,,0
IMPS-Indigo-REF619825,1442.92,debit,imps,Indigo,0
RTGS-Zomato-REF614551,1449.8,debit,rtgs,Zomato,0
RTGS-PhonePe-REF675471,4639.41,debit,rtgs,PhonePe,0
NACH-SPOTIFY-443733,37471.37,debit,nach,Spotify,0
CARD-Moneycontrol-REF832279,10861.42,debit,card,Moneycontrol,0
CARD-Zomato-REF999507,201.11,debit,card,Zomato,0
NACH-Zepto-REF121109,2240.32,debit,imps,Zepto,0
TRANSFER-IN-NEFT-EMPLOYER-REF826620,17547.54,credit,neft,,1
IMPS-Starbucks-REF865562,1326.42,debit,imps,Starbucks,0
NACH-APOLLO-977902,30241.3,debit,nach,Apollo,0
PAYMENT-RECEIVED-UPI-JANE SMITH-5009030378@okhdfcbank,15637.74,credit,upi,,1
RTGS-BSNL-REF633343,933.45,debit,rtgs,BSNL,0
CARD-BESCOM-REF813610,895.89,debit,card,BESCOM,0
NACH-Kuvera-REF640860,27532.2,debit,nach,Kuvera,0
CARD-IRCTC-REF369541,12539.97,debit,upi,IRCTC,0
CARD-HDFC Life-REF998166,9100.41,debit,card,HDFC Life,0
CASHBACK-UPI-ZEPTO-0074530106@ybl-996067,19867.72,credit,imps,Zepto,1
NEFT-LIC-REF203668,4995.72,debit,neft,LIC,0
IMPS-Starbucks-REF168908,1869.28,debit,imps,Starbucks,0
CARD-88678330,10153.3,debit,card,Apollo,0
NACH-Zepto-REF121109,2096.68,debit,nach,Zepto,0
CARD-88678330,10886.71,debit,card,Apollo,0
NACH-Ola-REF946067,11993.52,debit,nach,Ola,0
CARD-LinkedIn Learning-REF766493,1681.15,debit,card,LinkedIn Learning,0
CARD-Udemy-REF839301,4027.85,debit,card,Udemy,0
RTGS-Spotify-REF926329,996.67,debit,rtgs,Spotify,0
INTEREST-UPI-BLINKIT-8162734523@ybl-128541,6572.06,credit,neft,Blinkit,1
UPI-Reliance-REF836878,947.69,debit,upi,Reliance,0
NEFT-FORTIS-REF801971,33079.34,debit,neft,Fortis,0
INCOME-RTGS-BIGBASKET-REF917751,34490.24,credit,rtgs,BigBasket,1
UPI-CRED-4403446249@ybl-194634,13067.92,debit,upi,CRED,0
CARD-ICICI Lombard-REF892242,2873.38,debit,card,ICICI Lombard,0
CARD-Flipkart-REF673586,1786.18,debit,card,Flipkart,0
IMPS-PERSON A-401633,507.25,debit,imps,Shell,0
CARD-56746554,586.8,debit,card,KFC,0
UPI-Myntra-REF148204,3085.14,debit,upi,Myntra,0
NACH-CRED-REF977830,19627.0,debit,nach,CRED,0
NEFT-Udemy-REF177230,1966.43,debit,neft,Udemy,0
NACH-CRED-REF824223,27424.48,debit,nach,CRED,0
RTGS-BookMyShow-REF282248,541.82,debit,rtgs,BookMyShow,0
INCOME-RTGS-BIGBASKET-REF917751,34103.97,credit,rtgs,BigBasket,1
NEFT-Medibuddy-REF523931,5136.18,debit,neft,Medibuddy,0
UPI-HDFC LIFE-1749560089@ybl-674827,5018.8,debit,upi,HDFC Life,0
