narration,amount,direction,channel,merchant,intent,category
NEFT-EMPLOYER-REF380187,10127.26,debit,neft,,rent,personal_care
RTGS-JIO-REF525800,978.65,debit,rtgs,Jio,utilities,utilities
UPI-LIC-3232463384@ybl-877323,10252.82,debit,upi,LIC,insurance,insurance
NEFT-EMPLOYER-REF749209,7852.89,debit,neft,,credit_card_payment,personal_care
NACH-INDIGO-446212,1380.5,debit,imps,Indigo,fuel,fuel
UPI-FORTIS-3914739283@ybl-861532,8674.1,debit,upi,Fortis,healthcare,healthcare
UPI-BLINKIT-5666369023@ybl-642079,1778.89,credit,upi,Blinkit,refund,groceries
NEFT-UberEats-REF879887,548.55,debit,neft,UberEats,food,food
IMPS-HP-REF408423,922.37,debit,imps,HP,fuel,fuel
IMPS-Starbucks-REF959549,680.98,debit,imps,Starbucks,food,dining
UPI-NETFLIX-6028817678@ybl-868572,654.39,debit,upi,Netflix,subscription,subscriptions
RTGS-SPOTIFY-REF314577,4092.8,debit,rtgs,Spotify,entertainment,entertainment
UPI-NETFLIX-0957683750@ybl-759571,397.51,debit,upi,Netflix,subscription,subscriptions
IMPS-Vodafone-REF305788,5151.62,debit,imps,Vodafone,utilities,utilities
UPI-HDFC LIFE-7801813428@ybl-565653,5867.86,debit,upi,HDFC Life,insurance,insurance
UPI-JOHN DOE-2475634343@okhdfcbank,32678.8,debit,upi,,rent,rent
UPI-KUVERA-4540314388@ybl-652695,8454.6,debit,upi,Kuvera,investment,investments
NEFT-Amazon-REF185115,3040.21,debit,neft,Amazon,shopping,shopping
RTGS-JIO-REF525800,940.06,debit,rtgs,Jio,utilities,utilities
CARD-Swiggy-REF750347,827.73,debit,card,Swiggy,food,food
NEFT-EMPLOYER-REF569647,13057.04,credit,neft,,income,salary
NACH-Jio-REF411353,513.68,debit,nach,Jio,utilities,utilities
UPI-JANE SMITH-5782032834@okhdfcbank,29090.1,debit,upi,,self_transfer,transfers
NEFT-Byju's-REF474361,3538.22,debit,neft,Byju's,education,education
RTGS-BIGBASKET-REF766727,1427.83,debit,rtgs,BigBasket,grocery,groceries
UPI-LANDLORD-8130883817@okhdfcbank,23022.48,credit,upi,,income,salary
RTGS-Starbucks-REF292179,1696.04,debit,rtgs,Starbucks,food,dining
IMPS-PERSON B-079174,460.8,debit,imps,KFC,food,dining
UPI-HDFC LIFE-2275745525@ybl-957742,6656.27,debit,upi,HDFC Life,insurance,insurance
UPI-PRIME VIDEO-4424111451@ybl-522781,4933.85,debit,upi,Prime Video,entertainment,entertainment
NEFT-Moneycontrol-REF669455,45607.56,debit,imps,Moneycontrol,investment,investments
UPI-Reliance-REF879791,1065.19,debit,upi,Reliance,fuel,fuel
CARD-Skyscanner-REF803714,4920.73,debit,card,Skyscanner,travel,travel
RTGS-BookMyShow-REF982101,571.66,debit,rtgs,BookMyShow,entertainment,entertainment
NACH-Groww-REF269490,38602.1,debit,nach,Groww,investment,investments
NEFT-LinkedIn Learning-REF844255,2503.3,debit,neft,LinkedIn Learning,education,education
UPI-LANDLORD-0421010474@ybl,32402.37,debit,upi,,peer_transfer,transfers
COMPANY-UPI-JOHN DOE-4982519826@okhdfcbank,96026.08,credit,card,,salary,salary
NEFT-HDFC Life-REF228774,5562.74,debit,upi,HDFC Life,insurance,insurance
UPI-Coursera-REF843905,3255.88,debit,upi,Coursera,education,education
IMPS-PERSON B-895694,41213.62,debit,imps,Jio,utilities,utilities
CARD-Fortis-REF594301,5835.31,debit,card,Fortis,healthcare,healthcare
UPI-Blinkit-REF229561,1631.19,debit,upi,Blinkit,grocery,groceries
CARD-Vodafone-REF141415,3584.05,debit,card,Vodafone,utilities,utilities
CARD-Razorpay-REF915109,36139.32,debit,card,Razorpay,credit_card_payment,credit_card_payments
RTGS-BANK-REF515853,5005.97,credit,card,,income,salary
NACH-CRED-REF121479,5011.23,debit,nach,CRED,credit_card_payment,credit_card_payments
CARD-Vodafone-REF988200,3451.15,debit,card,Vodafone,utilities,utilities
IMPS-PERSON B-757188,9591.56,credit,imps,,income,salary
UPI-GROWW-5791908868@ybl-362813,3873.85,debit,upi,Groww,investment,investments
NEFT-Hotstar-REF652509,318.35,debit,neft,Hotstar,subscription,entertainment
CARD-Paytm-REF572865,757.56,debit,card,Paytm,shopping,shopping
RTGS-NETFLIX-REF029670,30425.61,debit,rtgs,Netflix,entertainment,entertainment
NEFT-Caltex-REF946763,1987.61,debit,neft,Caltex,fuel,fuel
NACH-Zerodha-REF155748,40180.45,debit,nach,Zerodha,investment,investments
NACH-Blinkit-REF371314,2060.37,debit,nach,Blinkit,grocery,groceries
RTGS-Fortis-REF718434,5790.97,debit,rtgs,Fortis,healthcare,healthcare
IMPS-IOC-REF198841,1869.69,debit,imps,IOC,fuel,fuel
COMPANY-UPI-LANDLORD-6617139656@okhdfcbank,76573.83,credit,upi,,salary,salary
RTGS-AMAZON-REF124999,24623.14,credit,rtgs,Amazon,cashback,shopping
RTGS-FLIPKART-REF832535,38232.8,credit,rtgs,Flipkart,cashback,shopping
IMPS-IRCTC-REF658685,3885.79,debit,imps,IRCTC,travel,travel
COMPANY-UPI-JANE SMITH-5024564424@okhdfcbank,98455.26,credit,upi,,salary,salary
UPI-ZERODHA-9189251846@ybl-748401,7333.9,debit,upi,Zerodha,investment,investments
IMPS-PERSON A-907044,6675.63,credit,imps,,income,salary
IMPS-Upstox-REF738862,37658.14,debit,imps,Upstox,investment,investments
UPI-LANDLORD-8268056211@ybl,6805.84,debit,upi,,peer_transfer,transfers
IMPS-Indigo-REF958165,1463.59,debit,imps,Indigo,fuel,fuel
NACH-YouTube Premium-REF385737,966.89,debit,neft,YouTube Premium,subscription,entertainment
UPI-Paytm-REF878620,704.3,debit,upi,Paytm,shopping,shopping
CARD-BSNL-REF964975,696.28,debit,card,BSNL,utilities,utilities
NEFT-EMPLOYER-REF332820,32044.86,debit,upi,,emi_payment,emi
IMPS-PERSON B-757188,9591.56,credit,card,,income,salary
ACCENTURE-UPI-JOHN DOE-0420762754@okhdfcbank,94426.59,credit,upi,,salary,salary
IMPS-IRCTC-REF274395,2665.29,debit,imps,IRCTC,travel,travel
UPI-Myntra-REF416450,3676.19,debit,upi,Myntra,shopping,shopping
CARD-Spotify-REF747811,307.55,debit,card,Spotify,subscription,entertainment
IMPS-PERSON A-903303,32439.33,debit,imps,Skyscanner,travel,travel
UPI-CRED-6660279311@ybl-607905,21903.1,debit,upi,CRED,credit_card_payment,credit_card_payments
NEFT-Apollo-REF580099,1302.46,debit,neft,Apollo,healthcare,healthcare
UPI-ZERODHA-2435491803@ybl-744451,9866.19,debit,upi,Zerodha,investment,investments
NACH-UberEats-REF642443,910.76,debit,nach,UberEats,food,food
IMPS-PERSON B-961368,3620.85,debit,imps,,emi_payment,emi
NACH-Zepto-REF544024,909.35,debit,nach,Zepto,grocery,groceries
RTGS-Ola-REF900342,6659.98,debit,rtgs,Ola,travel,travel
CARD-YouTube Premium-REF359120,508.37,debit,card,YouTube Premium,subscription,entertainment
UPI-ZOMATO-4584588436@ybl-698180,238.02,debit,upi,Zomato,food,food
RTGS-PayU-REF183724,40056.03,debit,rtgs,PayU,credit_card_payment,credit_card_payments
NEFT-Skyscanner-REF534287,2371.82,debit,neft,Skyscanner,travel,travel
NEFT-Caltex-REF397108,1152.51,debit,neft,Caltex,fuel,fuel
UPI-JANE SMITH-1606610104@ybl,12299.54,debit,card,,loan_payment,loans
NACH-Zepto-REF121109,2569.03,debit,nach,Zepto,grocery,groceries
NEFT-KFC-REF323748,33410.02,debit,neft,KFC,utilities,dining
NEFT-EMPLOYER-REF935208,23334.3,debit,neft,,emi_payment,emi
RTGS-Paytm-REF981965,2781.8,debit,rtgs,Paytm,shopping,shopping
RTGS-Google Pay-REF425263,3169.18,debit,rtgs,Google Pay,shopping,shopping
UPI-Paytm-REF843791,652.69,debit,upi,Paytm,shopping,shopping
CARD-TATA Power-REF573837,4081.34,debit,card,TATA Power,utilities,utilities
NACH-Byju's-REF358878,879.54,debit,upi,Byju's,education,education
CARD-03005811,46163.96,debit,card,,self_transfer,transfers
RTGS-STARBUCKS-REF991955,753.78,debit,card,Starbucks,food,dining
CARD-Shell-REF587607,1261.37,debit,card,Shell,fuel,fuel
UPI-SPOTIFY-6887844840@ybl-608577,650.19,debit,neft,Spotify,subscription,subscriptions
RTGS-HP-REF858264,574.96,debit,rtgs,HP,fuel,fuel
UPI-Reliance-REF759561,1679.59,debit,neft,Reliance,fuel,fuel
IMPS-Starbucks-REF517674,1101.53,debit,imps,Starbucks,food,dining
IMPS-Spotify-REF320044,254.0,debit,imps,Spotify,subscription,entertainment
NACH-Amazon-REF171469,3556.53,debit,nach,Amazon,shopping,shopping
NACH-Reliance-REF690980,942.94,debit,nach,Reliance,fuel,fuel
NEFT-Amazon-REF424263,4030.33,debit,neft,Amazon,shopping,shopping
UPI-LANDLORD-2182960372@okhdfcbank,49453.17,debit,upi,,cash_withdrawal,transfers
AMAZON-UPI-JANE SMITH-1921473653@okhdfcbank,75767.09,credit,upi,,salary,salary
NEFT-EMPLOYER-REF196987,17484.45,debit,upi,,self_transfer,transfers
PAYROLL-UPI-JANE SMITH-7467217304@okhdfcbank,78968.03,credit,upi,,salary,salary
IMPS-Byju's-REF160031,2985.28,debit,imps,Byju's,education,education
NACH-Hotstar-REF171325,701.89,debit,nach,Hotstar,subscription,entertainment
IMPS-Skyscanner-REF383629,3256.58,debit,imps,Skyscanner,travel,travel
NEFT-Spotify-REF189863,645.71,debit,neft,Spotify,subscription,entertainment
IMPS-BSNL-REF190999,4343.22,debit,imps,BSNL,utilities,utilities
UPI-Coursera-REF720357,2166.92,debit,upi,Coursera,education,education
NEFT-BigBasket-REF200710,1945.75,debit,neft,BigBasket,grocery,groceries
IMPS-Upstox-REF958070,23862.3,debit,imps,Upstox,investment,investments
NACH-Razorpay-REF370865,10415.61,debit,nach,Razorpay,credit_card_payment,credit_card_payments
CARD-Shell-REF171904,1822.11,debit,card,Shell,fuel,fuel
UPI-Google Pay-REF818454,1559.8,debit,upi,Google Pay,shopping,shopping
CARD-CRED-REF172258,6368.33,debit,card,CRED,credit_card_payment,credit_card_payments
CARD-IRCTC-REF235421,2317.11,debit,card,IRCTC,travel,travel
RTGS-ICICI Lombard-REF753312,3977.04,debit,card,ICICI Lombard,insurance,insurance
NEFT-IRCTC-REF441033,7437.78,debit,neft,IRCTC,travel,travel
NEFT-PayU-REF853360,45374.47,debit,neft,PayU,credit_card_payment,credit_card_payments
CARD-81351101,24279.5,debit,card,OYO,travel,travel
RTGS-Prime Video-REF598634,760.67,debit,rtgs,Prime Video,subscription,entertainment
UPI-Byju's-REF642702,4210.54,debit,upi,Byju's,education,education
IMPS-PERSON B-665714,8150.63,credit,imps,,income,salary
IMPS-Upstox-REF958070,21133.06,debit,imps,Upstox,investment,investments
IMPS-Apollo-REF538858,5142.39,debit,imps,Apollo,healthcare,healthcare
CARD-50943668,12885.66,debit,card,MakeMyTrip,travel,travel
NACH-Kuvera-REF483945,12876.1,debit,nach,Kuvera,investment,investments
IMPS-Google Pay-REF392713,555.03,debit,imps,Google Pay,shopping,shopping
NACH-CRED-REF121479,4613.86,debit,nach,CRED,credit_card_payment,credit_card_payments
CARD-CRED-REF621731,34408.6,debit,upi,CRED,credit_card_payment,credit_card_payments
IMPS-PERSON B-775789,2003.61,debit,imps,Indigo,fuel,fuel
NEFT-ZEPTO-REF167781,953.43,debit,neft,Zepto,grocery,groceries
NEFT-Medibuddy-REF507698,3345.19,debit,neft,Medibuddy,healthcare,healthcare
UPI-MYNTRA-9582751807@ybl-029898,41505.26,credit,upi,Myntra,refund,shopping
CARD-38642698,7690.98,debit,card,Zomato,loan_payment,food
RTGS-Hotstar-REF549342,910.07,debit,rtgs,Hotstar,subscription,entertainment
NEFT-Kuvera-REF949556,24152.45,debit,upi,Kuvera,investment,investments
NACH-Airtel-REF449993,878.91,debit,nach,Airtel,utilities,utilities
INFOSYS-UPI-JOHN DOE-3542596187@okhdfcbank,91108.0,credit,upi,,salary,salary
RTGS-Cure.fit-REF185837,1444.72,debit,imps,Cure.fit,healthcare,personal_care
NEFT-PhonePe-REF155411,2298.85,debit,neft,PhonePe,shopping,shopping
IMPS-YouTube Premium-REF170576,927.49,debit,imps,YouTube Premium,subscription,entertainment
CARD-IOC-REF343233,1948.01,debit,card,IOC,fuel,fuel
CARD-LinkedIn Learning-REF766493,1285.5,debit,card,LinkedIn Learning,education,education
RTGS-Udemy-REF728487,4625.5,debit,rtgs,Udemy,education,education
NEFT-PhonePe-REF732238,3261.55,debit,neft,PhonePe,shopping,shopping
CARD-IRCTC-REF990490,6560.42,debit,card,IRCTC,travel,travel
UPI-JOHN DOE-6488323420@ybl,2475.78,debit,upi,,peer_transfer,transfers
UPI-JOHN DOE-6605613279@ybl,7964.01,debit,upi,,loan_payment,loans
NEFT-EMPLOYER-REF569647,13057.04,credit,neft,,income,salary
NACH-PROVIDER-353759,22524.98,credit,nach,,income,salary
NEFT-PayU-REF471381,29367.62,debit,neft,PayU,credit_card_payment,credit_card_payments
IMPS-PERSON B-565599,39643.83,credit,imps,Prime Video,cashback,entertainment
CARD-IRCTC-REF235421,2317.11,debit,card,IRCTC,travel,travel
NACH-BIGBASKET-067117,1126.61,debit,nach,BigBasket,grocery,groceries
RTGS-Zomato-REF796776,1003.0,debit,rtgs,Zomato,food,food
IMPS-YouTube Premium-REF919583,908.29,debit,neft,YouTube Premium,subscription,entertainment
UPI-KFC-9126043787@ybl-047847,570.52,debit,upi,KFC,food,dining
NACH-LIC-REF475089,7722.85,debit,nach,LIC,insurance,insurance
UPI-Vodafone-REF918329,3548.22,debit,upi,Vodafone,utilities,utilities
UPI-Flipkart-REF550038,2165.46,debit,upi,Flipkart,shopping,shopping
NEFT-BookMyShow-REF330695,867.78,debit,neft,BookMyShow,entertainment,entertainment
CARD-KFC-REF949783,887.04,debit,card,KFC,food,dining
RTGS-Medibuddy-REF461242,1800.49,debit,rtgs,Medibuddy,healthcare,healthcare
RTGS-NETFLIX-REF219619,33165.84,debit,rtgs,Netflix,entertainment,entertainment
NACH-Medibuddy-REF791053,5960.85,debit,nach,Medibuddy,healthcare,healthcare
IMPS-Myntra-REF946185,3210.99,debit,imps,Myntra,shopping,shopping
UPI-Caltex-REF890879,1521.34,debit,upi,Caltex,fuel,fuel
RTGS-UDEMY-REF754448,23813.85,debit,imps,Udemy,education,education
UPI-Jio-REF849850,917.72,debit,upi,Jio,utilities,utilities
CARD-Paytm-REF139426,697.4,debit,card,Paytm,shopping,shopping
RTGS-BANK-REF118147,4775.18,debit,rtgs,,self_transfer,transfers
NEFT-Udemy-REF177230,1823.24,debit,neft,Udemy,education,education
IMPS-HP-REF478502,916.19,debit,imps,HP,fuel,fuel
UPI-Bajaj Allianz-REF161183,9101.22,debit,upi,Bajaj Allianz,insurance,insurance
PAYROLL-NACH-UDEMY-507967,97183.62,credit,nach,Udemy,salary,education
UPI-Bajaj Allianz-REF298569,8413.37,debit,upi,Bajaj Allianz,insurance,insurance
NEFT-Cure.fit-REF267270,2280.47,debit,neft,Cure.fit,healthcare,personal_care
RTGS-BANK-REF687395,38833.11,credit,rtgs,,income,salary
NACH-UberEats-REF605882,973.65,debit,nach,UberEats,food,food
RTGS-BANK-REF563223,24011.84,debit,rtgs,,cash_withdrawal,transfers
IMPS-CRED-REF605972,16962.63,debit,imps,CRED,credit_card_payment,credit_card_payments
IMPS-Razorpay-REF912620,27026.61,debit,imps,Razorpay,credit_card_payment,credit_card_payments
UPI-JANE SMITH-5009030378@okhdfcbank,15272.94,credit,upi,,income,salary
COMPANY-UPI-JANE SMITH-5024564424@okhdfcbank,98455.26,credit,upi,,salary,salary
UPI-JOHN DOE-9419830415@okhdfcbank,49858.36,debit,upi,,loan_payment,loans
UPI-LANDLORD-2182960372@okhdfcbank,47326.75,debit,upi,,cash_withdrawal,transfers
NACH-Fortis-REF823382,4556.78,debit,nach,Fortis,healthcare,healthcare
NEFT-Medibuddy-REF431162,8928.49,debit,neft,Medibuddy,healthcare,healthcare
CARD-Caltex-REF277541,1108.22,debit,card,Caltex,fuel,fuel
NACH-Practo-REF511323,9302.07,debit,nach,Practo,healthcare,healthcare
NACH-OYO-REF415879,6464.14,debit,card,OYO,travel,travel
UPI-JOHN DOE-9951250404@ybl,4425.73,debit,upi,,loan_payment,loans
UPI-GROWW-0721053834@ybl-111373,1667.49,debit,upi,Groww,investment,investments
UPI-LinkedIn Learning-REF160230,2737.45,debit,upi,LinkedIn Learning,education,education
CARD-BESCOM-REF813610,802.51,debit,card,BESCOM,utilities,utilities
NEFT-EMPLOYER-REF887804,14362.8,credit,neft,,income,salary
IMPS-Google Pay-REF793588,1817.97,debit,imps,Google Pay,shopping,shopping
UPI-LIC-8809668739@ybl-843251,6927.47,debit,upi,LIC,insurance,insurance
IMPS-Udemy-REF300397,4496.92,debit,imps,Udemy,education,education
CARD-PayU-REF120891,35848.31,debit,card,PayU,credit_card_payment,credit_card_payments
RTGS-Google Pay-REF114521,1921.61,debit,rtgs,Google Pay,shopping,shopping
CARD-IRCTC-REF369541,12539.97,debit,card,IRCTC,travel,travel
UPI-ICICI PRU-7074228052@ybl-873563,8357.29,debit,upi,ICICI Pru,insurance,insurance
UPI-JOHN DOE-2949912028@okhdfcbank,36388.03,debit,upi,,loan_payment,loans
UPI-CRED-6660279311@ybl-607905,21903.1,debit,upi,CRED,credit_card_payment,credit_card_payments
IMPS-PERSON B-741666,1355.18,debit,imps,Shell,fuel,fuel
IMPS-Upstox-REF738862,37713.86,debit,imps,Upstox,investment,investments
RTGS-CRED-REF117455,39349.05,debit,rtgs,CRED,credit_card_payment,credit_card_payments
UPI-HDFC LIFE-1749560089@ybl-674827,5018.8,debit,upi,HDFC Life,insurance,insurance
RTGS-ZOMATO-REF120530,4796.29,debit,rtgs,Zomato,healthcare,food
IMPS-CRED-REF605972,16980.89,debit,upi,CRED,credit_card_payment,credit_card_payments
NACH-PROVIDER-353759,22524.98,credit,nach,,income,salary
NEFT-BigBasket-REF200710,2342.9,debit,neft,BigBasket,grocery,groceries
CARD-Shell-REF587607,1250.13,debit,card,Shell,fuel,fuel
NACH-Hotstar-REF586314,499.12,debit,nach,Hotstar,subscription,entertainment
NEFT-HDFC Life-REF228774,5562.74,debit,neft,HDFC Life,insurance,insurance
UPI-Uber-REF435819,12388.7,debit,upi,Uber,travel,travel
NACH-BESCOM-679448,42755.49,debit,nach,BESCOM,utilities,utilities
PAYROLL-NACH-UDEMY-507967,100783.42,credit,nach,Udemy,salary,education
RTGS-KFC-REF298450,921.71,debit,rtgs,KFC,food,dining
NEFT-EMPLOYER-REF105767,35774.07,debit,neft,,cash_withdrawal,transfers
IMPS-ICICI Pru-REF878773,8178.25,debit,imps,ICICI Pru,insurance,insurance
RTGS-UDEMY-REF431271,13909.0,debit,rtgs,Udemy,insurance,education
CARD-46295612,37815.88,debit,card,Apollo,healthcare,healthcare
IMPS-Shell-REF619811,589.84,debit,imps,Shell,fuel,fuel
UPI-Skyscanner-REF160853,2121.15,debit,upi,Skyscanner,travel,travel
RTGS-KFC-REF567075,1696.88,debit,rtgs,KFC,food,dining
NEFT-Cure.fit-REF760684,2440.18,debit,neft,Cure.fit,healthcare,personal_care
NEFT-Shell-REF358685,900.82,debit,neft,Shell,fuel,fuel
CARD-Flipkart-REF990705,634.79,debit,neft,Flipkart,shopping,shopping
RTGS-KFC-REF632963,771.22,debit,rtgs,KFC,food,dining
IMPS-Udemy-REF227683,3158.17,debit,imps,Udemy,education,education
PAYROLL-UPI-JOHN DOE-0407714528@okhdfcbank,112773.71,credit,upi,,salary,salary
UPI-GROWW-1668160910@ybl-316479,1417.47,debit,upi,Groww,investment,investments
IMPS-Udemy-REF703704,1639.74,debit,imps,Udemy,education,education
UPI-1mg-REF502477,2319.4,debit,imps,1mg,healthcare,healthcare
UPI-JANE SMITH-0223512670@okhdfcbank,15981.15,debit,upi,,rent,rent
NEFT-EMPLOYER-REF317344,6812.78,debit,neft,,self_transfer,transfers
RTGS-ZEPTO-REF064476,1346.81,debit,rtgs,Zepto,grocery,groceries
UPI-CRED-9488906079@ybl-563937,14899.51,debit,upi,CRED,credit_card_payment,credit_card_payments
NEFT-PRIME VIDEO-REF949765,34457.75,credit,neft,Prime Video,cashback,entertainment
CARD-Skyscanner-REF748978,14126.6,debit,card,Skyscanner,travel,travel
NACH-ZEPTO-546142,853.13,debit,nach,Zepto,grocery,groceries
UPI-JANE SMITH-2948470920@okhdfcbank,21095.34,debit,upi,,rent,rent
NEFT-EMPLOYER-REF104021,40688.38,debit,neft,,self_transfer,personal_care
NEFT-Uber-REF623970,7817.96,debit,neft,Uber,travel,travel
RTGS-BANK-REF557074,44835.91,debit,rtgs,,self_transfer,transfers
NACH-Groww-REF308631,45564.3,debit,nach,Groww,investment,investments
UPI-Shell-REF535522,1460.4,debit,upi,Shell,fuel,fuel
UPI-MakeMyTrip-REF351835,3220.71,debit,upi,MakeMyTrip,travel,travel
UPI-BIGBASKET-9113889454@ybl-696239,22194.16,credit,upi,BigBasket,refund,groceries
UPI-Shell-REF535522,1297.13,debit,upi,Shell,fuel,fuel
NEFT-Zepto-REF628679,1191.3,debit,neft,Zepto,grocery,groceries
UPI-KFC-REF897926,1372.53,debit,upi,KFC,food,dining
UPI-Bajaj Allianz-REF600048,6847.73,debit,neft,Bajaj Allianz,insurance,insurance
UPI-CRED-5702711595@ybl-982848,22184.3,debit,upi,CRED,credit_card_payment,credit_card_payments
IMPS-Netflix-REF996545,854.35,debit,imps,Netflix,subscription,entertainment
UPI-Hotstar-REF171205,615.96,debit,upi,Hotstar,subscription,entertainment
AMAZON-UPI-JOHN DOE-2632073568@okhdfcbank,87482.92,credit,imps,,salary,salary
NACH-BESCOM-REF931387,3165.03,debit,nach,BESCOM,utilities,utilities
NEFT-BookMyShow-REF470047,871.14,debit,imps,BookMyShow,entertainment,entertainment
UPI-GROWW-1230474195@ybl-052146,6810.62,debit,upi,Groww,investment,investments
CARD-Ola-REF616736,9952.79,debit,card,Ola,travel,travel
NACH-Apollo-REF466764,2662.14,debit,nach,Apollo,healthcare,healthcare
NEFT-Cure.fit-REF706403,1999.29,debit,neft,Cure.fit,healthcare,personal_care
UPI-CRED-4609739804@ybl-786772,11442.24,debit,upi,CRED,credit_card_payment,credit_card_payments
NACH-PROVIDER-756225,40520.76,debit,nach,,cash_withdrawal,transfers
UPI-Starbucks-REF477701,1227.9,debit,upi,Starbucks,food,dining
NACH-Uber-REF506639,9632.32,debit,nach,Uber,travel,travel
NACH-PROVIDER-113707,25726.91,debit,nach,,emi_payment,emi
NEFT-IOC-REF403892,1297.53,debit,neft,IOC,fuel,fuel
NACH-Hotstar-REF571422,380.75,debit,nach,Hotstar,subscription,entertainment
NEFT-Razorpay-REF542111,21113.01,debit,neft,Razorpay,credit_card_payment,credit_card_payments
NACH-NETFLIX-976247,18074.26,debit,nach,Netflix,entertainment,entertainment
CARD-Ola-REF340339,10878.19,debit,card,Ola,travel,travel
IMPS-PERSON B-510201,14888.55,debit,imps,,cash_withdrawal,transfers
RTGS-Shell-REF160543,1363.42,debit,rtgs,Shell,fuel,fuel
IMPS-Medibuddy-REF833872,7401.34,debit,imps,Medibuddy,healthcare,healthcare
IMPS-PERSON B-086829,2847.69,credit,imps,,income,salary
NACH-Paytm-REF746112,1646.24,debit,nach,Paytm,shopping,shopping
RTGS-Airtel-REF803428,2544.16,debit,card,Airtel,utilities,utilities
UPI-CRED-REF635716,28378.64,debit,upi,CRED,credit_card_payment,credit_card_payments
UPI-ZERODHA-8376703261@ybl-664434,5212.19,debit,imps,Zerodha,investment,investments
UPI-UDEMY-9386708064@ybl-100846,4368.18,debit,upi,Udemy,education,education
IMPS-Kuvera-REF577547,16659.89,debit,imps,Kuvera,investment,investments
UPI-MakeMyTrip-REF314343,7186.23,debit,upi,MakeMyTrip,travel,travel
CARD-70870968,525.46,debit,card,Starbucks,food,dining
NACH-Medibuddy-REF190650,9523.54,debit,nach,Medibuddy,healthcare,healthcare
UPI-KFC-1416514627@ybl-457009,46185.19,debit,card,KFC,emi_payment,dining
IMPS-Moneycontrol-REF936328,11118.46,debit,imps,Moneycontrol,investment,investments
ACCENTURE-PAYROLL-NACH-UDEMY-507967,97183.62,credit,nach,Udemy,salary,education
NEFT-EMPLOYER-REF569647,13057.04,credit,card,,income,salary
UPI-JOHN DOE-2949912028@okhdfcbank,36388.03,debit,upi,,loan_payment,loans
NACH-LinkedIn Learning-REF104487,3704.92,debit,card,LinkedIn Learning,education,education
UPI-JOHN DOE-3853274859@ybl,49858.36,debit,upi,,loan_payment,loans
CARD-15485475,45732.25,credit,card,Myntra,cashback,shopping
NEFT-EMPLOYER-REF919748,17187.8,debit,neft,,emi_payment,emi
UPI-JOHN DOE-2949912028@okhdfcbank,36388.03,debit,imps,,loan_payment,loans
NEFT-LinkedIn Learning-REF428322,2168.75,debit,neft,LinkedIn Learning,education,education
NACH-UBEREATS-063934,12335.2,debit,nach,UberEats,utilities,food
NEFT-Indigo-REF570569,1193.99,debit,neft,Indigo,fuel,fuel
RTGS-Swiggy-REF862469,1256.88,debit,rtgs,Swiggy,food,food
CARD-KFC-REF703282,1116.11,debit,card,KFC,food,dining
IMPS-Udemy-REF417999,1431.79,debit,imps,Udemy,education,education
IMPS-Zomato-REF453885,530.75,debit,imps,Zomato,food,food
RTGS-Cure.fit-REF247906,2283.02,debit,rtgs,Cure.fit,healthcare,personal_care
